#--it-----t--------dt-------rhomin------rhomax-------umax--------urms--------brms--------bmax--------arms--------amax--------ubm--------ubrms-------divum-------divu2m------Sij2m-------ab_int------jb_int------ub_int-------abm------visc_heatm-
  110    0.100  9.60E-04 9.57168E-01 1.04264E+00 2.34947E-01 5.41234E-02 8.17255E-02 2.66470E-01 6.87572E-04 2.72025E-03 -1.1188E-08 2.48152E-03 -1.5348E-11 8.78169E-01 6.93142E+01 -1.1881E-06 -1.7421E-02 -2.7753E-06 -4.7897E-09 5.28399E-05
  115    0.105  9.61E-04 9.58206E-01 1.04204E+00 2.31178E-01 5.36876E-02 7.98176E-02 2.61592E-01 6.80373E-04 2.69375E-03 -7.3833E-09 2.40402E-03  4.6498E-11 8.37936E-01 6.69473E+01 -1.2005E-06 -1.8701E-02 -1.8315E-06 -4.8398E-09 4.90010E-05
  120    0.110  9.62E-04 9.62547E-01 1.03861E+00 2.27497E-01 5.32397E-02 7.80200E-02 2.58524E-01 6.73565E-04 2.66640E-03 -3.9758E-09 2.33050E-03  2.0350E-11 8.01899E-01 6.46680E+01 -1.2114E-06 -1.9876E-02 -9.8613E-07 -4.8836E-09 4.56584E-05
  125    0.115  9.66E-04 9.62259E-01 1.03760E+00 2.25997E-01 5.27824E-02 7.63209E-02 2.55392E-01 6.67106E-04 2.63743E-03 -9.1148E-10 2.26032E-03 -2.2396E-11 7.68995E-01 6.24737E+01 -1.2208E-06 -2.0946E-02 -2.2617E-07 -4.9214E-09 4.26832E-05
  130    0.120  9.63E-04 9.61639E-01 1.03785E+00 2.22651E-01 5.23182E-02 7.47115E-02 2.52019E-01 6.60967E-04 2.60729E-03  1.7325E-09 2.19333E-03  2.6120E-11 7.37899E-01 6.03633E+01 -1.2287E-06 -2.1919E-02  4.2967E-07 -4.9535E-09 3.99380E-05
  135    0.125  9.65E-04 9.63621E-01 1.03412E+00 2.17415E-01 5.18520E-02 7.31920E-02 2.48414E-01 6.55148E-04 2.60252E-03  3.9090E-09 2.12994E-03 -6.9576E-11 7.10186E-01 5.83467E+01 -1.2353E-06 -2.2824E-02  9.6968E-07 -4.9801E-09 3.75490E-05
  140    0.129  9.68E-04 9.66825E-01 1.03451E+00 2.11708E-01 5.13829E-02 7.17473E-02 2.44670E-01 6.49596E-04 2.59542E-03  5.6486E-09 2.06971E-03  7.0486E-12 6.84198E-01 5.64095E+01 -1.2406E-06 -2.3677E-02  1.4012E-06 -5.0016E-09 3.53607E-05
  145    0.134  9.74E-04 9.67337E-01 1.03537E+00 2.10905E-01 5.09120E-02 7.03706E-02 2.41848E-01 6.44285E-04 2.58706E-03  6.9951E-09 2.01228E-03  2.5693E-11 6.60084E-01 5.45481E+01 -1.2448E-06 -2.4468E-02  1.7352E-06 -5.0184E-09 3.33761E-05
  150    0.139  9.73E-04 9.67259E-01 1.03334E+00 2.10633E-01 5.04412E-02 6.90585E-02 2.40867E-01 6.39203E-04 2.57843E-03  8.0448E-09 1.95738E-03 -1.2612E-11 6.37932E-01 5.27625E+01 -1.2479E-06 -2.5190E-02  1.9954E-06 -5.0310E-09 3.15842E-05
  155    0.144  9.76E-04 9.68074E-01 1.03210E+00 2.09056E-01 4.99726E-02 6.78092E-02 2.39640E-01 6.34345E-04 2.56962E-03  8.8386E-09 1.90498E-03 -1.7053E-12 6.16912E-01 5.10534E+01 -1.2501E-06 -2.5854E-02  2.1924E-06 -5.0396E-09 2.99218E-05
