#--it-----t--------dt-----zredshift--ion_frac----nu_tdep--alpha_drag---rhomin-----rhomax------umax-------urms-------brms-------bmax-------arms-------amax--------ubm--------ubrms------divum------divu2m------ab_int------jb_int------ub_int-------abm-----
    0    0.000  6.96E-04  5200.0000 1.0801E+00 1.0000E-17 1.1357E+04 1.0000E+00 1.0000E+00 0.0000E+00 0.0000E+00 3.7779E-01 1.5897E+00 1.0436E-03 4.1142E-03  0.0000E+00 0.0000E+00  0.0000E+00 0.0000E+00  5.7303E-07  1.9027E-01  0.0000E+00  2.3101E-09
    5    0.001  2.96E-04  5194.9624 1.0801E+00 1.0000E-17 1.1330E+04 9.2598E-01 1.0553E+00 1.6819E+00 1.7638E-01 3.7794E-01 1.5888E+00 1.0438E-03 4.1159E-03  4.2471E-08 3.9482E-03 -7.2490E-11 2.6364E+03  5.6702E-07  1.8790E-01  1.0535E-05  2.2859E-09
   10    0.003  2.61E-05  5190.5166 1.0801E+00 1.0000E-17 1.1304E+04 5.3255E-01 1.3133E+00 1.8005E+01 1.3538E+00 3.7202E-01 1.5995E+00 1.0282E-03 4.0947E-03 -1.4475E-06 2.7417E-01  2.5870E-09 8.9520E+04  5.6863E-07  1.8206E-01 -3.5906E-04  2.2924E-09
   15    0.004  4.75E-05  5187.8784 1.0801E+00 1.0000E-17 1.1291E+04 5.0464E-01 1.3032E+00 1.0879E+01 7.7115E-01 3.7824E-01 1.6298E+00 1.0462E-03 4.2334E-03  1.0840E-06 1.2896E-01  4.2254E-10 1.0427E+04  5.7234E-07  1.8610E-01  2.6888E-04  2.3074E-09
   20    0.004  2.97E-04  5185.0210 1.0800E+00 1.0000E-17 1.1275E+04 5.9557E-01 1.2807E+00 2.1525E+00 1.4609E-01 3.7397E-01 1.5751E+00 1.0359E-03 4.0631E-03  2.3032E-07 2.3939E-02 -1.1911E-10 3.3332E+02  5.7326E-07  1.8852E-01  5.7130E-05  2.3111E-09
   25    0.005  1.52E-04  5181.3267 1.0800E+00 1.0000E-17 1.1253E+04 6.0135E-01 1.2552E+00 4.7049E+00 2.9163E-01 3.7370E-01 1.5731E+00 1.0356E-03 4.0626E-03  3.9445E-07 4.8406E-02 -1.0025E-10 9.9482E+02  5.7367E-07  1.8802E-01  9.7844E-05  2.3127E-09
   30    0.006  5.40E-04  5178.3711 1.0800E+00 1.0000E-17 1.1237E+04 6.0786E-01 1.2591E+00 5.2373E-01 1.7054E-02 3.7141E-01 1.5603E+00 1.0302E-03 4.0584E-03  1.4973E-08 1.8280E-03 -2.2367E-11 7.6345E+00  5.7369E-07  1.8858E-01  3.7142E-06  2.3128E-09
   35    0.008  6.22E-05  5174.2500 1.0800E+00 1.0000E-17 1.1214E+04 6.2424E-01 1.2686E+00 1.3079E+01 3.1813E-01 3.7174E-01 1.5600E+00 1.0317E-03 4.0583E-03  4.4973E-07 5.2790E-02 -2.6086E-10 1.1655E+03  5.7354E-07  1.8827E-01  1.1156E-04  2.3122E-09
   40    0.008  3.09E-04  5170.9365 1.0800E+00 1.0000E-17 1.1198E+04 6.2977E-01 1.2560E+00 1.7761E+00 3.7380E-02 3.6951E-01 1.5478E+00 1.0265E-03 4.0542E-03  4.6096E-08 5.4084E-03 -7.0065E-12 1.9693E+01  5.7347E-07  1.8885E-01  1.1434E-05  2.3119E-09
   45    0.009  1.46E-04  5167.0767 1.0800E+00 1.0000E-17 1.1177E+04 6.4018E-01 1.2484E+00 4.9908E+00 7.4840E-02 3.6787E-01 1.5376E+00 1.0229E-03 4.0509E-03 -1.1285E-07 1.3292E-02 -1.1911E-10 5.8521E+01  5.7337E-07  1.8916E-01 -2.7991E-05  2.3115E-09
   50    0.010  4.42E-04  5164.1196 1.0798E+00 1.0000E-17 1.1160E+04 6.5066E-01 1.2489E+00 7.5690E-01 6.0161E-03 3.6739E-01 1.5360E+00 1.0221E-03 4.0496E-03 -8.3102E-09 9.0076E-04 -7.3139E-12 3.1988E+00  5.7331E-07  1.8920E-01 -2.0614E-06  2.3113E-09
   55    0.012  8.62E-05  5159.7305 1.0798E+00 1.0000E-17 1.1136E+04 6.6879E-01 1.2622E+00 1.0425E+01 1.0906E-01 3.6668E-01 1.5337E+00 1.0210E-03 4.0479E-03  1.5897E-07 1.8242E-02 -1.2046E-10 1.3378E+02  5.7324E-07  1.8936E-01  3.9433E-05  2.3110E-09
   60    0.013  1.22E-04  5156.3115 1.0798E+00 1.0000E-17 1.1118E+04 6.6925E-01 1.2385E+00 4.4451E+00 3.2955E-02 3.6519E-01 1.5304E+00 1.0177E-03 4.0446E-03 -5.5939E-08 6.4274E-03  1.4754E-11 1.4233E+01  5.7319E-07  1.8951E-01 -1.3876E-05  2.3108E-09
   65    0.014  1.40E-04  5152.0024 1.0798E+00 1.0000E-17 1.1095E+04 6.5929E-01 1.2502E+00 6.4980E+00 6.1808E-02 3.6452E-01 1.5283E+00 1.0165E-03 4.0430E-03  8.5860E-08 9.9542E-03 -1.5630E-11 4.3658E+01  5.7310E-07  1.8959E-01  2.1298E-05  2.3104E-09
   70    0.015  1.34E-04  5148.4116 1.0798E+00 1.0000E-17 1.1077E+04 6.4799E-01 1.2541E+00 4.2338E+00 5.9543E-03 3.6337E-01 1.5254E+00 1.0141E-03 4.0403E-03 -4.0781E-09 4.4317E-04 -8.1686E-13 2.4649E+00  5.7301E-07  1.8971E-01 -1.0116E-06  2.3101E-09
   75    0.016  3.64E-05  5144.0024 1.0798E+00 1.0000E-17 1.1051E+04 6.3552E-01 1.4432E+00 1.5844E+01 1.1777E-02 3.6219E-01 1.5223E+00 1.0117E-03 4.0375E-03 -2.0768E-08 2.5347E-03 -2.7285E-12 3.5702E+00  5.7286E-07  1.8979E-01 -5.1516E-06  2.3094E-09
   80    0.017  1.90E-04  5141.3662 1.0798E+00 1.0000E-17 1.1038E+04 6.2930E-01 1.3377E+00 2.9883E+00 5.6462E-03 3.6162E-01 1.5207E+00 1.0106E-03 4.0361E-03 -8.4465E-09 9.8110E-04 -3.1809E-12 2.1754E+00  5.7279E-07  1.8983E-01 -2.0952E-06  2.3092E-09
