#--it-----t--------dt-----zredshift---ion_frac---alpha_drag---nu_tdep------rhomin------rhomax-------umax--------urms--------brms--------bmax--------arms--------amax--------ubm--------ubrms-------divum-------divu2m------ab_int------jb_int------ub_int-------abm------visc_heatm-
   70    0.013  5.35E-04  5154.3970 1.07983E+00 1.11064E+04 1.00001E-17 2.84205E-01 1.49236E+00 3.95400E-01 2.00052E-03 3.93327E-01 1.50457E+00 1.63596E-01 3.61829E-01  3.4400E-11 7.05480E-05  1.0105E-11 2.51595E-01  1.8198E-01  6.8004E-01  8.5331E-09  7.3362E-04 4.36340E-06
   75    0.015  1.20E-04  5149.3330 1.07982E+00 1.10797E+04 1.00001E-17 2.93315E-01 1.50354E+00 6.40305E+00 2.01245E-03 3.93184E-01 1.49715E+00 1.63596E-01 3.61828E-01  2.7653E-09 2.07692E-04  6.4001E-13 2.42108E-01  1.8198E-01  6.8033E-01  6.8592E-07  7.3363E-04 4.62139E-05
   80    0.016  4.84E-04  5145.7432 1.07982E+00 1.10613E+04 1.00001E-17 2.99256E-01 1.49459E+00 6.96748E-01 1.95894E-03 3.93087E-01 1.49245E+00 1.63596E-01 3.61828E-01  2.7342E-10 8.16028E-05  4.2612E-12 2.24086E-01  1.8198E-01  6.8053E-01  6.7823E-08  7.3363E-04 3.62662E-06
   85    0.017  1.15E-04  5141.5967 1.07982E+00 1.10394E+04 1.00001E-17 3.06406E-01 1.57111E+00 5.40773E+00 1.94622E-03 3.92968E-01 1.48685E+00 1.63596E-01 3.61827E-01 -1.4652E-09 1.27102E-04 -2.0885E-12 2.12887E-01  1.8198E-01  6.8075E-01 -3.6344E-07  7.3363E-04 1.37255E-05
   90    0.018  1.82E-04  5138.3682 1.07978E+00 1.10187E+04 1.00001E-17 3.12540E-01 1.47291E+00 3.98665E+00 1.92562E-03 3.92866E-01 1.48226E+00 1.63596E-01 3.61827E-01  8.2812E-10 1.02116E-04  6.6359E-12 2.01610E-01  1.8198E-01  6.8095E-01  2.0542E-07  7.3363E-04 3.65707E-06
   95    0.019  2.64E-04  5134.5181 1.07978E+00 1.09995E+04 1.00001E-17 3.18464E-01 1.51222E+00 2.26220E+00 1.90640E-03 3.92765E-01 1.47822E+00 1.63596E-01 3.61827E-01 -5.0522E-10 9.81379E-05 -2.0211E-13 1.91393E-01  1.8198E-01  6.8113E-01 -1.2532E-07  7.3363E-04 2.96215E-06
  100    0.020  6.53E-04  5130.6660 1.07978E+00 1.09795E+04 1.00001E-17 3.24339E-01 1.50138E+00 2.42715E-01 1.88997E-03 3.92663E-01 1.47427E+00 1.63596E-01 3.61826E-01  8.1077E-11 9.72806E-05  7.5791E-13 1.82020E-01  1.8198E-01  6.8132E-01  2.0111E-08  7.3363E-04 2.60886E-06
  105    0.021  6.16E-04  5126.5205 1.07976E+00 1.09570E+04 1.00001E-17 3.30759E-01 1.53657E+00 2.72905E-01 1.87265E-03 3.92550E-01 1.46996E+00 1.63596E-01 3.61826E-01 -3.0475E-11 1.01525E-04  1.2800E-12 1.72061E-01  1.8198E-01  6.8152E-01 -7.5590E-09  7.3363E-04 2.39068E-06
  110    0.023  3.78E-04  5122.5615 1.07976E+00 1.09352E+04 1.00001E-17 3.36765E-01 1.60230E+00 1.16894E+00 1.85716E-03 3.92443E-01 1.46595E+00 1.63596E-01 3.61825E-01 -3.9802E-10 1.07797E-04 -1.6506E-12 1.63142E-01  1.8198E-01  6.8170E-01 -9.8730E-08  7.3363E-04 2.36680E-06
  115    0.024  6.55E-05  5118.5254 1.07975E+00 1.09143E+04 1.00001E-17 3.42405E-01 1.64684E+00 7.02841E+00 1.86118E-03 3.92341E-01 1.46222E+00 1.63596E-01 3.61825E-01  9.6662E-10 1.58924E-04  8.2697E-12 1.63285E-01  1.8198E-01  6.8187E-01  2.3977E-07  7.3363E-04 1.60171E-04
  120    0.024  1.74E-04  5115.8540 1.07975E+00 1.08996E+04 1.00001E-17 3.46141E-01 1.61282E+00 2.25012E+00 1.83404E-03 3.92272E-01 1.45974E+00 1.63596E-01 3.61825E-01  1.5203E-10 1.18380E-04 -3.3348E-12 1.50627E-01  1.8198E-01  6.8198E-01  3.7710E-08  7.3363E-04 8.93216E-06
  125    0.026  4.67E-05  5110.9785 1.07975E+00 1.08747E+04 1.00001E-17 3.52461E-01 1.63626E+00 9.09713E+00 1.88760E-03 3.92153E-01 1.45555E+00 1.63596E-01 3.61824E-01  4.6178E-10 2.69709E-04 -3.6885E-12 1.65198E-01  1.8198E-01  6.8219E-01  1.1455E-07  7.3362E-04 6.24708E-04
  130    0.027  1.88E-04  5108.3110 1.07975E+00 1.08610E+04 1.00001E-17 3.56005E-01 1.57202E+00 2.90645E+00 1.80894E-03 3.92086E-01 1.45323E+00 1.63596E-01 3.61824E-01 -1.5031E-10 1.22948E-04  7.2423E-12 1.36520E-01  1.8198E-01  6.8228E-01 -3.7285E-08  7.3363E-04 3.28167E-06
  135    0.028  1.31E-04  5105.0225 1.07975E+00 1.08421E+04 1.00001E-17 3.60699E-01 1.45218E+00 5.09382E+00 1.80065E-03 3.91995E-01 1.45013E+00 1.63596E-01 3.61824E-01  1.7087E-10 1.32292E-04 -7.0738E-13 1.31003E-01  1.8198E-01  6.8242E-01  4.2385E-08  7.3363E-04 7.28114E-06
  140    0.029  1.81E-04  5101.2275 1.07975E+00 1.08213E+04 1.00001E-17 3.65485E-01 1.42671E+00 3.11494E+00 1.78914E-03 3.91901E-01 1.44698E+00 1.63596E-01 3.61823E-01  1.7030E-10 1.41490E-04 -9.0613E-12 1.24783E-01  1.8198E-01  6.8255E-01  4.2244E-08  7.3363E-04 5.87877E-06
  145    0.030  3.03E-04  5097.6440 1.07975E+00 1.08036E+04 1.00001E-17 3.69513E-01 1.41814E+00 1.48217E+00 1.77210E-03 3.91821E-01 1.44435E+00 1.63596E-01 3.61823E-01 -6.0064E-11 1.28448E-04 -1.6000E-12 1.18967E-01  1.8198E-01  6.8267E-01 -1.4899E-08  7.3363E-04 1.68064E-06
  150    0.031  2.81E-04  5094.5190 1.07975E+00 1.07858E+04 1.00001E-17 3.73695E-01 1.41351E+00 1.76707E+00 1.76161E-03 3.91736E-01 1.44162E+00 1.63596E-01 3.61823E-01  6.9773E-11 1.31400E-04  1.7179E-12 1.13962E-01  1.8198E-01  6.8279E-01  1.7308E-08  7.3362E-04 1.78524E-06
  155    0.032  2.30E-04  5089.7432 1.07975E+00 1.07626E+04 1.00001E-17 3.78779E-01 1.40788E+00 1.41000E+00 1.74895E-03 3.91632E-01 1.43828E+00 1.63596E-01 3.61822E-01  3.3450E-11 1.34455E-04  9.4318E-13 1.08281E-01  1.8198E-01  6.8293E-01  8.2974E-09  7.3363E-04 3.74012E-06
  160    0.033  3.72E-05  5085.6030 1.07975E+00 1.07396E+04 1.00001E-17 3.83526E-01 1.40517E+00 9.98964E+00 1.77996E-03 3.91532E-01 1.43517E+00 1.63596E-01 3.61822E-01  3.9569E-10 2.05027E-04  4.5475E-12 1.27917E-01  1.8198E-01  6.8306E-01  9.8152E-08  7.3363E-04 8.90649E-04
  165    0.034  4.23E-04  5083.5908 1.07975E+00 1.07276E+04 1.00001E-17 3.86153E-01 1.39995E+00 5.61821E-01 1.72978E-03 3.91476E-01 1.43345E+00 1.63596E-01 3.61822E-01  1.3868E-11 1.38960E-04  7.9497E-12 9.95364E-02  1.8198E-01  6.8313E-01  3.4401E-09  7.3363E-04 1.27565E-06
  170    0.035  7.23E-05  5079.7329 1.07974E+00 1.07073E+04 1.00001E-17 3.90219E-01 1.39564E+00 5.70858E+00 1.73133E-03 3.91388E-01 1.43078E+00 1.63596E-01 3.61821E-01 -1.2576E-10 1.68162E-04 -3.8064E-12 1.01674E-01  1.8198E-01  6.8324E-01 -3.1194E-08  7.3363E-04 1.15136E-04
  175    0.036  3.00E-04  5076.3374 1.07974E+00 1.06913E+04 1.00001E-17 3.93406E-01 1.39223E+00 1.26606E+00 1.71224E-03 3.91318E-01 1.42869E+00 1.63596E-01 3.61821E-01  4.3608E-11 1.45134E-04  4.1601E-12 9.19704E-02  1.8198E-01  6.8332E-01  1.0817E-08  7.3363E-04 2.13936E-06
  180    0.037  2.58E-05  5072.0337 1.07973E+00 1.06685E+04 1.00001E-17 3.97912E-01 1.45545E+00 1.11567E+01 1.78008E-03 3.91217E-01 1.42572E+00 1.63596E-01 3.61820E-01 -2.1805E-10 2.80143E-04  1.4653E-12 1.35856E-01  1.8198E-01  6.8344E-01 -5.4087E-08  7.3363E-04 2.43275E-03
  185    0.038  2.13E-04  5069.6304 1.07973E+00 1.06560E+04 1.00001E-17 4.00193E-01 1.38510E+00 2.54677E+00 1.69709E-03 3.91165E-01 1.42421E+00 1.63596E-01 3.61820E-01  1.7045E-10 1.52889E-04 -5.3896E-12 8.55399E-02  1.8198E-01  6.8351E-01  4.2279E-08  7.3363E-04 5.12258E-06
  190    0.039  7.85E-05  5066.6689 1.07973E+00 1.06399E+04 1.00001E-17 4.03251E-01 1.38844E+00 4.77496E+00 1.69643E-03 3.91095E-01 1.42218E+00 1.63596E-01 3.61820E-01  1.0729E-10 1.68050E-04 -2.2906E-12 8.65204E-02  1.8198E-01  6.8359E-01  2.6614E-08  7.3363E-04 7.58376E-05
  195    0.040  3.37E-05  5062.3770 1.07973E+00 1.06163E+04 1.00001E-17 3.08779E-01 1.47493E+00 9.36459E+00 1.73966E-03 3.90996E-01 1.41939E+00 1.63596E-01 3.61820E-01  1.0729E-09 2.66641E-04 -1.0274E-12 1.07479E-01  1.8198E-01  6.8368E-01  2.6613E-07  7.3363E-04 1.13571E-03
  200    0.041  4.91E-04  5060.0410 1.07973E+00 1.06050E+04 1.00001E-17 3.94957E-01 1.38986E+00 4.21212E-01 1.67224E-03 3.90948E-01 1.41805E+00 1.63596E-01 3.61819E-01  1.0188E-10 1.54354E-04 -1.5664E-12 7.55707E-02  1.8198E-01  6.8374E-01  2.5272E-08  7.3363E-04 7.70389E-07
  205    0.042  9.02E-05  5055.9663 1.07968E+00 1.05819E+04 1.00001E-17 4.13391E-01 1.44012E+00 6.49078E+00 1.68492E-03 3.90853E-01 1.41544E+00 1.63596E-01 3.61819E-01  1.3404E-09 1.99434E-04  2.0885E-12 7.46710E-02  1.8198E-01  6.8384E-01  3.3249E-07  7.3363E-04 2.92133E-05
  210    0.043  4.11E-04  5052.4092 1.07968E+00 1.05653E+04 1.00001E-17 4.16207E-01 1.42407E+00 1.01566E+00 1.65613E-03 3.90783E-01 1.41355E+00 1.63596E-01 3.61819E-01 -1.7339E-11 1.59019E-04 -7.4107E-13 6.94145E-02  1.8198E-01  6.8391E-01 -4.3011E-09  7.3363E-04 7.60088E-07
  215    0.044  1.29E-04  5048.2676 1.07968E+00 1.05435E+04 1.00001E-17 4.19852E-01 1.51474E+00 3.77117E+00 1.66006E-03 3.90692E-01 1.41110E+00 1.63596E-01 3.61818E-01 -5.4149E-10 1.82757E-04  5.9117E-12 6.92281E-02  1.8198E-01  6.8401E-01 -1.3432E-07  7.3362E-04 2.73277E-05
  220    0.045  5.07E-04  5045.2261 1.07968E+00 1.05256E+04 1.00001E-17 4.22630E-01 1.49070E+00 6.13133E-01 1.64065E-03 3.90621E-01 1.40922E+00 1.63596E-01 3.61818E-01 -6.7886E-11 1.63734E-04 -5.0527E-13 6.37501E-02  1.8198E-01  6.8408E-01 -1.6840E-08  7.3363E-04 6.01494E-07
  225    0.047  3.40E-05  5040.9966 1.07968E+00 1.05034E+04 1.00001E-17 4.26128E-01 1.62342E+00 1.43215E+01 1.76535E-03 3.90529E-01 1.40685E+00 1.63596E-01 3.61818E-01  9.5823E-12 3.75491E-04  4.8675E-12 1.01049E-01  1.8198E-01  6.8419E-01  2.3766E-09  7.3362E-04 1.33809E-03
  230    0.048  6.51E-05  5037.6304 1.07968E+00 1.04882E+04 1.00001E-17 4.28426E-01 1.75356E+00 6.79395E+00 1.65154E-03 3.90468E-01 1.40528E+00 1.63596E-01 3.61817E-01 -3.0993E-10 2.43190E-04 -1.9285E-12 6.66894E-02  1.8198E-01  6.8423E-01 -7.6879E-08  7.3363E-04 1.34936E-04
  235    0.048  1.48E-04  5034.7007 1.07968E+00 1.04723E+04 1.00001E-17 4.30741E-01 1.66737E+00 3.07565E+00 1.62693E-03 3.90406E-01 1.40369E+00 1.63596E-01 3.61817E-01  6.1171E-11 1.87767E-04 -5.8949E-13 5.87175E-02  1.8198E-01  6.8428E-01  1.5174E-08  7.3363E-04 1.27108E-05
  240    0.049  1.30E-04  5031.7031 1.07968E+00 1.04553E+04 1.00001E-17 4.33288E-01 1.67130E+00 3.72467E+00 1.62252E-03 3.90337E-01 1.40194E+00 1.63596E-01 3.61817E-01  1.1471E-10 1.94716E-04 -1.4400E-12 5.71042E-02  1.8198E-01  6.8434E-01  2.8454E-08  7.3363E-04 1.76618E-05
  245    0.051  4.55E-05  5027.6631 1.07968E+00 1.04338E+04 1.00001E-17 4.36356E-01 1.94762E+00 9.81384E+00 1.68937E-03 3.90251E-01 1.39981E+00 1.63596E-01 3.61817E-01  6.3049E-10 3.40734E-04 -5.2212E-12 7.37908E-02  1.8198E-01  6.8441E-01  1.5639E-07  7.3363E-04 5.41670E-04
  250    0.052  1.62E-04  5024.2690 1.07968E+00 1.04184E+04 1.00001E-17 4.38447E-01 1.76976E+00 3.19014E+00 1.60645E-03 3.90192E-01 1.39836E+00 1.63596E-01 3.61816E-01  2.7614E-10 1.85402E-04 -3.3517E-12 5.21057E-02  1.8198E-01  6.8445E-01  6.8497E-08  7.3363E-04 6.91197E-06
  255    0.053  8.85E-05  5021.0366 1.07967E+00 1.03999E+04 1.00001E-17 4.41010E-01 1.72777E+00 5.52758E+00 1.61434E-03 3.90118E-01 1.39656E+00 1.63596E-01 3.61816E-01  2.2353E-10 2.22174E-04  4.2022E-12 5.46138E-02  1.8198E-01  6.8451E-01  5.5446E-08  7.3363E-04 6.96039E-05
  260    0.054  4.00E-04  5017.6348 1.07967E+00 1.03840E+04 1.00001E-17 4.43101E-01 1.83076E+00 8.58243E-01 1.59193E-03 3.90057E-01 1.39509E+00 1.63596E-01 3.61816E-01  5.6747E-11 1.77214E-04 -1.0897E-11 4.76491E-02  1.8198E-01  6.8455E-01  1.4076E-08  7.3363E-04 5.23856E-07
